metric,projector,instance,precision,recall,f1
test_person-doctor/macro_types,figer_classifier_adapter_bert_ms,0,1.0,1,1.0
test_other-health/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-event-natural_disaster/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-structure/macro_types,figer_classifier_adapter_bert_ms,0,0.4583333432674408,0.30344828963279724,0.3651452362537384
test_location-transit-road/macro_types,figer_classifier_adapter_bert_ms,0,0.5833333134651184,1.0,0.7368420958518982
test_organization-government/macro_types,figer_classifier_adapter_bert_ms,0,0.6170212626457214,0.11934156715869904,0.20000001788139343
test_other-religion/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-athlete/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-structure-sports_facility/macro_types,figer_classifier_adapter_bert_ms,0,0.5,0.125,0.20000000298023224
test_organization-stock_exchange/macro_types,figer_classifier_adapter_bert_ms,0,0.3333333432674408,0.7272727489471436,0.45714282989501953
test_other-language-programming_language/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-event-protest/macro_types,figer_classifier_adapter_bert_ms,0,1.0,1.0,1.0
test_location-geography-island/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-event-sports_event/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0,0.0
